repository_observable,biological_endpoint_ids,biological_endpoint_summary,current_repository_status,support_level,validation_evidence,required_assumptions,limitations,future_priority
mean_planar_speed_mm_s,adult_walking_speed_velocity; threat_assay_speed,walking speed velocity and mean speed,measured,SUPPORTED,results/validation/milestone_e4_concordance.json; results/validation/milestone_e3_candidate_robustness.json,direction-only comparison; assay context not matched,does not encode threat stimulus or direct experimental calibration,P0_RETAIN_AND_ANNOTATE
planar_path_length_mm,adult_walking_distance; adult_actometer_locomotor_activity,covered distance total moving distance and broad locomotor activity,measured,PARTIALLY_SUPPORTED,results/validation/milestone_e4_concordance.json; results/validation/milestone_e3_candidate_robustness.json,path length is closest available distance endpoint,not equivalent to actometer output or assay-specific total distance,P0_RETAIN_WITH_PATH_LENGTH_PRIMARY
planar_displacement_mm,adult_walking_distance; adult_actometer_locomotor_activity,net movement displacement as supplemental distance output,measured,PARTIALLY_SUPPORTED,results/validation/milestone_e4_concordance.json,used only as supplemental distance context,net displacement discards path tortuosity,P0_SUPPLEMENTAL_ONLY
trajectory_efficiency,none_currently_supported,path tortuosity or directness,measured,NOT_SUPPORTED,results/validation/milestone_e3_candidate_robustness.json,none,no curated adult PD endpoint mapped to trajectory efficiency; deltas mixed across seeds,P2_KEEP_AS_COMPUTATIONAL_DESCRIPTOR
heading_yaw_change_rad,angular_velocity_turning,run-level yaw displacement,measured,NOT_SUPPORTED,results/validation/milestone_e4_concordance.json,none,not angular velocity and not a validated turning endpoint,P1_REPLACE_WITH_YAW_RATE_FOR_TURNING
heading_yaw_abs_change_rad,angular_velocity_turning,absolute run-level yaw displacement,measured,NOT_SUPPORTED,results/validation/milestone_e4_concordance.json,none,not angular velocity; directional response nonlinear and variable,P1_REPLACE_WITH_YAW_RATE_FOR_TURNING
body_height_min_mm; body_height_mean_mm; body_height_range_mm,body_height_posture,simulation body-height or posture descriptor,measured,NOT_SUPPORTED,results/validation/milestone_e4_concordance.json; docs/report/final_report.md:5.2,none,simulation confound only; no curated adult PD endpoint support,P0_REPORT_AS_CONFOUND_ONLY
joint_action_abs_mean,none_currently_supported,controller command magnitude,measured,NOT_SUPPORTED,results/validation/milestone_e3_candidate_robustness.json; results/validation/milestone_e5_computational_rescue.json,none,software intervention descriptor not a biological endpoint,P0_REPORT_AS_COMPUTATIONAL_MECHANISM_ONLY
adhesion_duty_factor_by_leg; adhesion_transition_count_by_leg,inter_leg_coordination,leg adhesion summary,measured,NOT_SUPPORTED,results/baseline/healthy_baseline.json; results/perturbations/action_scale_080.json,none,adhesion duty and transition counts are not inter-leg phase or gait regularity metrics,P2_DESIGN_GAIT_PHASE_METRICS
negative_geotaxis_performance_index,negative_geotaxis_sing,SING or negative-geotaxis score,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,current evidence lacks vertical climbing assay,P2_VERTICAL_CLIMBING_ASSAY
climbing_success_fraction; climbing_velocity,climbing_behavior,vertical climbing success and velocity,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,current evidence lacks climbing arena and climbing metrics,P2_VERTICAL_CLIMBING_ASSAY
movement_bout_distance; stop_or_freeze_duration,movement_bout_distance; freezing_pause_stop_duration,bout distance stop duration and pause behavior,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,current outputs lack movement-bout segmentation,P1_BOUT_AND_PAUSE_SEGMENTATION
angular_velocity,angular_velocity_turning,time-resolved angular speed,not_measured,NOT_SUPPORTED,docs/scientific/e4_evidence_matrix.yaml; results/validation/milestone_e4_concordance.json,none,current yaw outputs are run-level changes only,P1_YAW_RATE_AND_TURN_BOUTS
open_field_center_avoidance,centrophobism_center_avoidance,centrophobism or center/periphery occupancy,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,current world lacks open-field center/periphery geometry,P1_OPEN_FIELD_GEOMETRY
trial_reactivity_fraction,stimulus_reactivity,stimulus-response reactivity,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,no sensory stimulus or trial-classification pipeline,P1_STIMULUS_RESPONSE_PIPELINE
tremor_amplitude_or_frequency,tremor,high-frequency oscillation endpoint,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,no prespecified signal source or frequency band,P3_TREMOR_METRIC_AFTER_SIGNAL_DESIGN
per_speed; per_duration_variability,per_motor_endpoints,proboscis extension motor endpoints,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml,none,PER is outside the current walking simulation,P3_SEPARATE_PER_ASSAY
drug_or_treatment_response,biological_rescue_or_treatment,L-DOPA Mucuna or drug-associated rescue,not_measured,NOT_SUPPORTED,docs/scientific/literature_database.yaml; results/validation/milestone_e5_computational_rescue.json,none,E5 is computational reversibility only and no pharmacology exists,P3_ONLY_AFTER_BIOLOGICAL_BRIDGE
