endpoint_id,behavioral_endpoint,support_level,frozen_candidate_evidence,g5_measurement_available,validation_basis,main_limitation
adult_walking_speed_velocity,adult walking speed / velocity / mean speed,SUPPORTED,candidate mean planar speed decreased across all 5 E3 paired seeds,yes,results/validation/milestone_e3_candidate_robustness.json; results/validation/milestone_e4_concordance.json,qualitative direction-only computational support
adult_walking_distance,covered distance / total moving distance,PARTIALLY_SUPPORTED,candidate displacement and path length decreased in E3 aggregate summaries; displacement negative in all 5 paired seeds,yes,results/validation/milestone_e3_candidate_robustness.json; results/validation/milestone_e4_concordance.json,path length is not directly calibrated to experimental total distance
adult_actometer_locomotor_activity,actometer locomotor activity,PARTIALLY_SUPPORTED,locomotor output decreased but actometer assay not simulated,yes,results/validation/milestone_e3_candidate_robustness.json; docs/scientific/literature_database.yaml,actometer hardware and sampling context absent
threat_assay_speed,trial-based threat-assay mean speed,PARTIALLY_SUPPORTED,mean speed decreased but no threat stimulus exists,yes,results/validation/milestone_e3_candidate_robustness.json; docs/scientific/literature_database.yaml,stimulus and trial alignment absent
movement_bout_distance,distance per movement / per-bout distance,NOT_SUPPORTED,not evaluated in frozen candidate evidence,yes,src/drosophila_pd/metrics/bouts.py; tests/test_measurement_extension.py,raw trajectories are not stored in frozen E3/E4/E5 evidence
angular_velocity_turning,angular velocity / time-resolved turning,NOT_SUPPORTED,run-level yaw exists but angular velocity not evaluated,yes,results/validation/milestone_e4_concordance.json; src/drosophila_pd/metrics/turning.py,yaw change is not angular velocity; raw orientations required
centrophobism_center_avoidance,centrophobism / open-field center avoidance,NOT_SUPPORTED,not evaluated in frozen candidate evidence,yes,src/drosophila_pd/metrics/open_field.py,requires virtual arena declaration and raw trajectories
negative_geotaxis_sing,negative geotaxis / SING performance / climbing abilities,NOT_SUPPORTED,not evaluated,no,docs/scientific/literature_database.yaml,requires separate vertical climbing or SING assay
climbing_behavior,climbing behavior / climbing assays / climbing impairments,NOT_SUPPORTED,not evaluated,no,docs/scientific/literature_database.yaml,no climbing arena or vertical locomotion metrics
freezing_pause_stop_duration,stop durations / freezing / pause behavior,NOT_SUPPORTED,not evaluated in frozen candidate evidence,yes,src/drosophila_pd/metrics/bouts.py,raw trajectories and prespecified pause threshold required
stimulus_reactivity,trial-based behavioral reactivity,NOT_SUPPORTED,not evaluated,no,docs/scientific/literature_database.yaml,no stimulus-response pipeline
per_motor_endpoints,proboscis extension speed and duration variability,NOT_SUPPORTED,not evaluated,no,docs/scientific/literature_database.yaml,PER outside current whole-body walking simulation
tremor,tremor amplitude or frequency,NOT_SUPPORTED,not evaluated,no,docs/scientific/literature_database.yaml,no prespecified high-frequency signal metric
biological_rescue_or_treatment,L-DOPA Mucuna or drug-associated behavioral rescue,NOT_SUPPORTED,E5 is computational reversibility only,no,results/validation/milestone_e5_computational_rescue.json,no biological drug or dopamine bridge
inter_leg_coordination,inter-leg coordination phase or gait regularity,NOT_SUPPORTED,adhesion summaries exist but are not gait phase metrics,no,docs/scientific/biological_mapping.yaml,no directly curated adult PD gait evidence or phase metrics
body_height_posture,body or thorax height as a Parkinson phenotype,NOT_SUPPORTED,candidate body height changed but remains a simulation confound,no,results/validation/milestone_e4_concordance.json; docs/report/final_report.md:5.2,no curated adult PD body-height endpoint
