claim_id,claim,evidence_json,figure_or_table,manuscript_section,validation_class,scientific_boundary
T01,"The unperturbed simulation baseline passed its software checks.",results/baseline/healthy_baseline.json,"none - no dedicated E6 figure/table",docs/report/final_report.md:3.1,software_validation,"Computational baseline only; not biological validation"
T02,"Identity perturbation preserves the baseline.",results/perturbations/identity.json,"none - no dedicated E6 figure/table",docs/report/final_report.md:3.2,controlled_simulation_comparison,"Controlled software comparison"
T03,"Global action scaling changes output and action magnitude as configured.",results/perturbations/action_scale_080.json,"none - no dedicated E6 figure/table",docs/report/final_report.md:3.2,controlled_simulation_comparison,"Computational proxy only"
T04,"Motor-vigor response is graded across E1 scales.",results/sweeps/milestone_e1.json,"results/analysis/figures/e1_parameter_response.png; results/analysis/tables/e1_parameter_response.csv",docs/report/final_report.md:3.3,simulation_response_surface,"Not a biological severity curve"
T05,"Coordination has modest intermediate effects and a large near-zero effect.",results/sweeps/milestone_e1.json,"results/analysis/figures/e1_parameter_response.png; results/analysis/tables/e1_parameter_response.csv",docs/report/final_report.md:3.3,simulation_response_surface,"Computational response surface only"
T06,"Combined speed/displacement effects are mostly near additive and yaw is more nonlinear.",results/sweeps/milestone_e2_combined.json,"results/analysis/figures/e2_condition_comparison.png; results/analysis/tables/e2_condition_summary.csv",docs/report/final_report.md:3.4,simulation_interaction,"Simulation interaction, not biology"
T07,"The frozen candidate reduces displacement and speed across five paired seeds.",results/validation/milestone_e3_candidate_robustness.json,"results/analysis/figures/e3_paired_seed_robustness.png; results/analysis/tables/e3_seed_summary.csv; manuscript Table 2",docs/report/final_report.md:3.5,computational_robustness,"Robust means software/computational robustness under tested seeds only"
T08,"E4 has partial qualitative phenotype concordance.",results/validation/milestone_e4_concordance.json,"manuscript Table 3; no dedicated E6 CSV",docs/report/final_report.md:3.6,literature_concordance,"Directional qualitative comparison only"
T09,"E5 shows computational reversibility, especially on the motor axis.",results/validation/milestone_e5_computational_rescue.json,"results/analysis/figures/e5_computational_reversibility.png; results/analysis/tables/e5_reversibility_summary.csv; manuscript Table 4",docs/report/final_report.md:3.7,computational_reversibility,"Not biological rescue or treatment response"
T10,"The frozen candidate is motor_scale 0.8 and coupling_scale 0.75.","results/validation/milestone_e3_candidate_robustness.json; results/analysis/milestone_e6_synthesis.json","results/analysis/figures/e2_condition_comparison.png; results/analysis/tables/e2_condition_summary.csv",docs/report/final_report.md:2.7,pre_registered_candidate_identity,"Candidate for further validation, not a disease model"
T11,"E6 passed 56 checks and synthesized eight inputs into four figures and five tables.",results/analysis/milestone_e6_synthesis.json,"results/analysis/tables/evidence_manifest.csv; all four E6 figures and five E6 tables",docs/report/final_report.md:3.8,evidence_synthesis,"Evidence-only synthesis; no new simulation"
T12,"No frozen result establishes biological Parkinson's disease validation or statistical significance.",results/analysis/milestone_e6_synthesis.json,"none - explicit boundary claim",docs/report/final_report.md:5-7,scientific_boundary,"No PD validation, biological rescue, dopamine equivalence, disease severity mapping, mechanistic equivalence, or statistical significance"
