biological_endpoint_id,biological_endpoint,behavior_category,literature_evidence_ids,repository_observables,support_level,currently_measured,validation_evidence,required_assumptions,limitations,future_implementation_priority
adult_walking_speed_velocity,adult walking speed / velocity / mean speed,adult_walking,riemensperger_2011_walking_speed; chen_2014_velocity; kajtor_2025_walking_speed,mean_planar_speed_mm_s,SUPPORTED,yes,docs/scientific/e4_evidence_matrix.yaml; results/validation/milestone_e4_concordance.json; results/validation/milestone_e3_candidate_robustness.json,qualitative direction-only mapping; assay context not matched,no direct numeric calibration; threat assay lacks stimulus context,P0_RETAIN_AND_ANNOTATE
adult_walking_distance,covered distance / total moving distance,adult_walking; adult_open_field,riemensperger_2011_covered_distance; chen_2014_total_moving_distance,planar_path_length_mm; planar_displacement_mm,PARTIALLY_SUPPORTED,yes,docs/scientific/e4_evidence_matrix.yaml; results/validation/milestone_e4_concordance.json; results/validation/milestone_e3_candidate_robustness.json,path length primary; displacement supplemental; direction-only comparison,arena duration and protocol differ; short flat-ground simulation only,P0_RETAIN_WITH_PATH_LENGTH_PRIMARY
adult_actometer_locomotor_activity,actometer locomotor activity,adult_locomotion,liu_2008_actometer_activity,planar_path_length_mm; mean_planar_speed_mm_s; planar_displacement_mm,PARTIALLY_SUPPORTED,yes,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,locomotor-output summaries are related but not equivalent,no actometer hardware or long-duration activity protocol,P2_SEPARATE_ACTIVITY_ASSAY
threat_assay_speed,trial-based threat-assay mean speed,adult_walking; adult_locomotion,kajtor_2025_walking_speed,mean_planar_speed_mm_s,PARTIALLY_SUPPORTED,yes,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,scalar speed exists; threat stimulus absent,no passing-shadow trial alignment or reactivity classification,P1_STIMULUS_ALIGNED_ASSAY
movement_bout_distance,distance per movement / per-bout distance,adult_open_field,chen_2014_distance_per_movement,none,NOT_SUPPORTED,no,docs/scientific/e4_evidence_matrix.yaml; results/validation/milestone_e4_concordance.json,none,current outputs do not segment movement bouts,P1_BOUT_SEGMENTATION
angular_velocity_turning,angular velocity / time-resolved turning,adult_turning,chen_2014_angular_velocity,heading_yaw_change_rad; heading_yaw_abs_change_rad,NOT_SUPPORTED,no,docs/scientific/e4_evidence_matrix.yaml; results/validation/milestone_e4_concordance.json,none,yaw change is run-level angular displacement not angular velocity,P1_YAW_RATE_AND_TURN_BOUTS
centrophobism_center_avoidance,centrophobism / open-field center avoidance,adult_open_field,chen_2014_centrophobism,none,NOT_SUPPORTED,no,docs/scientific/e4_evidence_matrix.yaml; results/validation/milestone_e4_concordance.json,none,no arena center/periphery definition,P1_OPEN_FIELD_GEOMETRY
negative_geotaxis_sing,negative geotaxis / SING performance / climbing abilities,negative_geotaxis,riemensperger_2011_negative_geotaxis; riemensperger_2013_progressive_locomotor_deficits; coulom_2004_negative_geotaxis,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,none,current evidence is flat-ground walking only,P2_VERTICAL_CLIMBING_ASSAY
climbing_behavior,climbing behavior / climbing assays / climbing impairments,climbing,riemensperger_2013_climbing_impairments; aggarwal_2019_climbing_behavior; aggarwal_2019_locomotor_defects; liu_2008_climbing; poddighe_2014_climbing_behavior,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,none,no climb success vertical displacement climb velocity or fine-scale climbing endpoint,P2_VERTICAL_CLIMBING_ASSAY
freezing_pause_stop_duration,stop durations / freezing / pause behavior,freezing_pause,kajtor_2025_stop_duration,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,none,no stopped-versus-moving bout labels or stimulus alignment,P1_BOUT_AND_PAUSE_SEGMENTATION
stimulus_reactivity,trial-based behavioral reactivity,adult_locomotion,kajtor_2025_reactivity,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,none,no perturbing stimulus or response classifier,P1_STIMULUS_RESPONSE_PIPELINE
per_motor_endpoints,proboscis extension speed and duration variability,adult_locomotion,cording_2017_per_speed; cording_2017_per_duration_variability,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,none,PER is outside whole-body walking simulation,P3_SEPARATE_PER_ASSAY
tremor,tremor amplitude or frequency,tremor,cording_2017_tremor,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; docs/scientific/behavior_endpoint_matrix.csv,none,no prespecified high-frequency oscillation metric,P3_TREMOR_METRIC_AFTER_SIGNAL_DESIGN
biological_rescue_or_treatment,L-DOPA Mucuna or drug-associated behavioral rescue,adult_locomotion; negative_geotaxis; climbing,liu_2008_ldopa_locomotor_impairment; coulom_2004_ldopa_behavior; poddighe_2014_climbing_behavior,none,NOT_SUPPORTED,no,docs/scientific/literature_database.yaml; results/validation/milestone_e5_computational_rescue.json,none,E5 is computational reversibility only; no biological drug mechanism implemented,P3_ONLY_AFTER_BIOLOGICAL_BRIDGE
inter_leg_coordination,inter-leg coordination phase or gait regularity,inter_leg_coordination,none,adhesion_duty_factor_by_leg; adhesion_transition_count_by_leg,NOT_SUPPORTED,no,docs/scientific/behavior_endpoint_matrix.csv; docs/scientific/validation_gap_analysis.md,none,G3 found no directly curated adult PD inter-leg coordination evidence; adhesion summaries are not gait phase metrics,P2_TARGETED_GAIT_LITERATURE_AND_PHASE_METRICS
