behavior_category,literature_endpoint,paper_ids,repository_observable,repository_currently_measured,mapping_status,rationale,gap_or_candidate_measurement
adult_walking,walking speed; velocity; mean speed,riemensperger_2011_dopamine_deficiency; chen_2014_a30p_walking; kajtor_2025_trial_based_behavior,mean_planar_speed_mm_s,yes,SUPPORTED,"The repository measures mean planar speed. Mapping remains qualitative because assays, duration, arenas, and genotypes differ.",Preserve as core comparison endpoint; add protocol metadata for future G4 literature mapping.
adult_walking,covered distance; total moving distance,riemensperger_2011_dopamine_deficiency; chen_2014_a30p_walking,planar_path_length_mm,yes,PARTIALLY_SUPPORTED,"Path length is closer than displacement to covered distance, but E4/E6 comparisons are direction-only and not calibrated.",Keep path length primary for distance; report displacement as supplemental only.
adult_open_field,distance per movement,chen_2014_a30p_walking,none,no,NOT_SUPPORTED,"Movement bouts are not segmented in frozen evidence.",Add bout segmentation and per-bout distance/speed metrics.
adult_open_field,centrophobism,chen_2014_a30p_walking,none,no,NOT_SUPPORTED,"Current FlatGroundWorld baseline has no arena-center avoidance or wall/center occupancy metric.",Design open-field arena geometry and center occupancy metric separately from flat-ground baseline.
adult_turning,angular velocity,chen_2014_a30p_walking,none,no,NOT_SUPPORTED,"The repository records yaw displacement over a run, not angular velocity.",Add time-resolved yaw-rate and turn-event metrics.
adult_turning,turning behavior,kajtor_2025_trial_based_behavior,none,no,NOT_SUPPORTED,"Threat-stimulus responses and turn decisions are not modeled.",Add stimulus-aligned turning and heading-change metrics only after a stimulus assay exists.
adult_locomotion,locomotor activity,liu_2008_lrrk2_parkinsonism,planar_path_length_mm,yes,PARTIALLY_SUPPORTED,"Both are locomotor-output summaries, but actometer activity is not equivalent to path length in a flat-ground simulation.",Record activity as a separate assay class in G4.
adult_locomotion,reactivity,kajtor_2025_trial_based_behavior,none,no,NOT_SUPPORTED,"No perturbing sensory stimulus or response classification exists.",Add trial-based stimulus-response pipeline before mapping.
adult_locomotion,PER speed; PER duration variability,cording_2017_lrrk2_per,none,no,NOT_SUPPORTED,"Proboscis extension is a reflex motor assay outside whole-body walking simulation.",Keep as separate future assay family; do not map to walking speed.
negative_geotaxis,negative geotaxis; climbing abilities; SING performance,riemensperger_2011_dopamine_deficiency; riemensperger_2013_alpha_syn_dopamine_pathway; coulom_2004_rotenone,none,no,NOT_SUPPORTED,"Current evidence is flat-ground locomotion only.",Create a vertical climbing/SING simulation design before using these endpoints.
climbing,climbing behavior; climbing assays; climbing impairments,aggarwal_2019_automated_climbing; liu_2008_lrrk2_parkinsonism; poddighe_2014_pink1b9_mucuna; riemensperger_2013_alpha_syn_dopamine_pathway,none,no,NOT_SUPPORTED,"No climbing success, climb velocity, or vertical displacement endpoint exists.",Define climbing arena, gravity-aligned displacement, and climb success thresholds without retrofitting old flat-ground runs.
freezing_pause,stop durations; freezing/stopping,kajtor_2025_trial_based_behavior,none,no,NOT_SUPPORTED,"Frozen outputs do not segment pauses or freezing bouts.",Add speed-threshold bout labels and stimulus alignment.
tremor,tremor,cording_2017_lrrk2_per,none,no,NOT_SUPPORTED,"No high-frequency oscillation metric is computed for limbs, body, or PER.",Add high-resolution time-series tremor metrics only with a validated observable.
inter_leg_coordination,inter-leg coordination,none,none,no,NOT_SUPPORTED,"G3 found no directly curated adult PD inter-leg coordination paper mapped to current evidence.",Search targeted gait literature in G4 and add limb phase metrics if supported.
