sequence,upstream,downstream,dependency_type,supporting_artifacts,notes
1,Block 8.12,Block 8.13,orientation_prerequisite,"results/baseline/block_8_12_audit.json; src/drosophila_pd/anatomy/audit.py",Read-only anatomy state precedes orientation-boundary inspection.
2,Block 8.13,Milestone 8B,materialization_boundary,"results/baseline/block_8_13_orientation.json; src/drosophila_pd/anatomy/materialization.py",Orientation identifies the verified add_joints boundary; 8B is the authorized gate.
3,Milestone 8B,Milestone C,anatomy_materialization_prerequisite,"results/baseline/milestone_8b_materialization.json; results/baseline/healthy_baseline.json",The baseline follows the frozen post-materialization anatomy checkpoint.
4,Milestone C,Milestone D,baseline_reuse,"configs/experiments/healthy_baseline.yaml; results/baseline/healthy_baseline.json; src/drosophila_pd/perturbations/base.py",D reuses the unperturbed pipeline and changes only explicit perturbation interfaces.
5,Milestone D,Milestone E1,perturbation_framework_prerequisite,"results/perturbations/identity.json; results/perturbations/action_scale_080.json; configs/experiments/sweeps/milestone_e1.yaml",E1 uses the controlled perturbation framework for parameter-response sweeps.
6,Milestone E1,Milestone E2,response_surface_prerequisite,"results/sweeps/milestone_e1.json; configs/experiments/sweeps/milestone_e2.yaml",E2 combines the two proxy families after their individual response surfaces.
7,Milestone E2,Milestone E3,candidate_selection_prerequisite,"results/sweeps/milestone_e2_combined.json; configs/experiments/validation/milestone_e3.yaml",E3 validates the candidate selected before execution.
8,Milestone E3,Milestone E4,frozen_candidate_input,"results/validation/milestone_e3_candidate_robustness.json; docs/scientific/e4_evidence_matrix.yaml",E4 compares the frozen computational phenotype with selected literature.
9,Milestone E4,Milestone E5,concordance_context,"results/validation/milestone_e4_concordance.json; configs/experiments/validation/milestone_e5.yaml",E5 evaluates computational reversibility of the frozen E3/E4 candidate.
10,Milestone E5,Milestone E6,evidence_synthesis_input,"results/validation/milestone_e5_computational_rescue.json; configs/analysis/milestone_e6.yaml",E6 reads the frozen upstream reports without rerunning simulations.
11,Milestone E6,Final Report,manuscript_evidence_input,"results/analysis/milestone_e6_synthesis.json; docs/report/evidence_traceability.md; docs/report/reproducibility.md",The canonical manuscript records E6 synthesis and its evidence boundary.
12,Final Report,Release v1.0.0,submission_packaging,"docs/report/final_report.md; dist/final_report_manifest.json; docs/release/v1.0.0.md",Milestone F builds and freezes the final DOCX/PDF package represented by the release.
