category,path,description,frozen,release_version,evidence_dependency
source,src/drosophila_pd,"Reusable Python package for anatomy audits, experiments, metrics, perturbations, assays, and analysis",true,v1.0.0,Frozen evidence generated by canonical pipeline
configs,configs/experiments,"Experiment configuration for baseline, perturbations, sweeps, and validation",true,v1.0.0,Frozen C/D/E1/E2/E3/E5 reports
configs,configs/analysis,Analysis configuration for E6 and measurement extensions,true,v1.0.0,E6 synthesis and later documentation artifacts
scripts,scripts,"Thin command-line entry points for audits, simulations, synthesis, and report build",true,v1.0.0,Frozen evidence and report provenance
tests,tests,Automated validation suite for code and packaging,true,v1.0.0,Repository validation
figures,results/analysis/figures/e1_parameter_response.png,E1 parameter-response figure,true,v1.0.0,results/sweeps/milestone_e1.json
figures,results/analysis/figures/e2_condition_comparison.png,E2 combined-condition figure,true,v1.0.0,results/sweeps/milestone_e2_combined.json
figures,results/analysis/figures/e3_paired_seed_robustness.png,E3 paired-seed robustness figure,true,v1.0.0,results/validation/milestone_e3_candidate_robustness.json
figures,results/analysis/figures/e5_computational_reversibility.png,E5 computational reversibility figure,true,v1.0.0,results/validation/milestone_e5_computational_rescue.json
tables,results/analysis/tables/evidence_manifest.csv,E6 evidence manifest table,true,v1.0.0,results/analysis/milestone_e6_synthesis.json
tables,results/analysis/tables/e1_parameter_response.csv,E1 parameter-response table,true,v1.0.0,results/sweeps/milestone_e1.json
tables,results/analysis/tables/e2_condition_summary.csv,E2 condition summary table,true,v1.0.0,results/sweeps/milestone_e2_combined.json
tables,results/analysis/tables/e3_seed_summary.csv,E3 seed summary table,true,v1.0.0,results/validation/milestone_e3_candidate_robustness.json
tables,results/analysis/tables/e5_reversibility_summary.csv,E5 reversibility summary table,true,v1.0.0,results/validation/milestone_e5_computational_rescue.json
evidence_json,results/baseline/block_8_12_audit.json,Block 8.12 pre-materialization audit evidence,true,v1.0.0,self
evidence_json,results/baseline/milestone_8b_materialization.json,Milestone 8B materialization evidence,true,v1.0.0,self
evidence_json,results/baseline/healthy_baseline.json,Milestone C unperturbed baseline evidence,true,v1.0.0,self
evidence_json,results/perturbations/identity.json,Milestone D identity perturbation evidence,true,v1.0.0,self
evidence_json,results/perturbations/action_scale_080.json,Milestone D action-scale perturbation evidence,true,v1.0.0,self
evidence_json,results/sweeps/milestone_e1.json,Milestone E1 parameter-response evidence,true,v1.0.0,self
evidence_json,results/sweeps/milestone_e2_combined.json,Milestone E2 combined phenotype evidence,true,v1.0.0,self
evidence_json,results/validation/milestone_e3_candidate_robustness.json,Milestone E3 robustness evidence,true,v1.0.0,self
evidence_json,results/validation/milestone_e4_concordance.json,Milestone E4 qualitative concordance evidence,true,v1.0.0,self
evidence_json,results/validation/milestone_e5_computational_rescue.json,Milestone E5 computational reversibility evidence,true,v1.0.0,self
evidence_json,results/analysis/milestone_e6_synthesis.json,Milestone E6 evidence synthesis report,true,v1.0.0,Eight frozen upstream evidence reports
manuscript,docs/report/final_report.md,Canonical manuscript source,true,v1.0.0,Frozen evidence chain and E6 synthesis
reports,docs/report,Modular manuscript support files,true,v1.0.0,Frozen evidence chain and E6 synthesis
release_artifacts,dist/Drosophila_PD_FlyGym_Final_Report.docx,Final report DOCX,true,v1.0.0,docs/report/final_report.md
release_artifacts,dist/Drosophila_PD_FlyGym_Final_Report.pdf,Final report PDF,true,v1.0.0,docs/report/final_report.md
release_artifacts,dist/final_report_manifest.json,Final report manifest with hashes and provenance,true,v1.0.0,Final report artifacts
documentation,README.md,Repository overview and reproduction guidance,true,v1.0.0,Frozen repository state
documentation,docs/publication,Publication package,true,v1.0.0,Frozen release package
documentation,docs/submission,Journal submission package,true,v1.0.0,Frozen release package
documentation,docs/archive,Long-term archival package,true,v1.0.0,Frozen release package
documentation,docs/traceability,Traceability and provenance graph,true,v1.0.0,Frozen evidence chain
documentation,docs/session_inventory,Historical notebook traceability inventory,true,v1.0.0,Historical notebooks and canonical milestones
documentation,docs/scientific,Literature and biological endpoint mapping documents,true,v1.0.0,Frozen validation and mapping docs
documentation,docs/release/v1.0.0.md,Release notes,true,v1.0.0,Frozen release state
documentation,CITATION.cff,Machine-readable citation metadata,true,v1.0.0,Repository and release metadata
documentation,docs/citation.md,Human-readable citation guidance,true,v1.0.0,Repository and release metadata
documentation,LICENSE,MIT license,true,v1.0.0,Repository licensing
documentation,CONTRIBUTING.md,Contribution guidance,true,v1.0.0,Community documentation
documentation,CODE_OF_CONDUCT.md,Code of conduct,true,v1.0.0,Community documentation
documentation,SECURITY.md,Security policy,true,v1.0.0,Community documentation
documentation,SUPPORT.md,Support guidance,true,v1.0.0,Community documentation
